,index,endTime,artistName,trackName,msPlayed,counts,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
180,406,2020-07-06 09:46,Party Favor,Bap U,952,7,4Ijr3J0lnLCGZvpXBiqCjU,0.668,0.953,8.0,-1.784,0.0,0.0386,0.0193,0.000118,0.0834,0.254,100.001,audio_features,4Ijr3J0lnLCGZvpXBiqCjU,spotify:track:4Ijr3J0lnLCGZvpXBiqCjU,https://api.spotify.com/v1/tracks/4Ijr3J0lnLCGZvpXBiqCjU,https://api.spotify.com/v1/audio-analysis/4Ijr3J0lnLCGZvpXBiqCjU,168207.0,4.0
181,415,2020-07-06 09:46,Laidback Luke,Party Starter,2670,8,0sJ2TnHlej7YZfqMnYj9QW,0.685,0.977,1.0,-2.215,1.0,0.0832,0.0282,0.516,0.306,0.651,126.129,audio_features,0sJ2TnHlej7YZfqMnYj9QW,spotify:track:0sJ2TnHlej7YZfqMnYj9QW,https://api.spotify.com/v1/tracks/0sJ2TnHlej7YZfqMnYj9QW,https://api.spotify.com/v1/audio-analysis/0sJ2TnHlej7YZfqMnYj9QW,131586.0,4.0
182,428,2020-07-06 10:04,Céline Dion,It's All Coming Back to Me Now,743,22,5EQzuYfTZt7B2LqlvTF49l,0.384,0.438,0.0,-9.149,1.0,0.0362,0.753,0.0,0.101,0.287,87.903,audio_features,5EQzuYfTZt7B2LqlvTF49l,spotify:track:5EQzuYfTZt7B2LqlvTF49l,https://api.spotify.com/v1/tracks/5EQzuYfTZt7B2LqlvTF49l,https://api.spotify.com/v1/audio-analysis/5EQzuYfTZt7B2LqlvTF49l,456867.0,4.0
183,430,2020-07-06 10:04,Muse,Thought Contagion,14664,24,57lCa95tmjJ8EYdNTex8Kk,0.48,0.76,5.0,-3.663,1.0,0.0402,0.00107,2.37e-05,0.0809,0.378,139.985,audio_features,57lCa95tmjJ8EYdNTex8Kk,spotify:track:57lCa95tmjJ8EYdNTex8Kk,https://api.spotify.com/v1/tracks/57lCa95tmjJ8EYdNTex8Kk,https://api.spotify.com/v1/audio-analysis/57lCa95tmjJ8EYdNTex8Kk,206107.0,4.0
184,431,2020-07-06 10:06,Jauz,Alpha,146146,41,6jStRtDFLNT5VmwFfCGWKj,0.667,0.776,5.0,-2.368,0.0,0.0631,0.08,0.0,0.356,0.0703,127.996,audio_features,6jStRtDFLNT5VmwFfCGWKj,spotify:track:6jStRtDFLNT5VmwFfCGWKj,https://api.spotify.com/v1/tracks/6jStRtDFLNT5VmwFfCGWKj,https://api.spotify.com/v1/audio-analysis/6jStRtDFLNT5VmwFfCGWKj,298125.0,4.0
185,433,2020-07-06 10:16,HI-LO,Alien Technology,252149,47,5UfhUeguI4fn18MpQepM0R,0.823,0.813,10.0,-8.527,0.0,0.0812,0.00814,0.438,0.095,0.346,126.002,audio_features,5UfhUeguI4fn18MpQepM0R,spotify:track:5UfhUeguI4fn18MpQepM0R,https://api.spotify.com/v1/tracks/5UfhUeguI4fn18MpQepM0R,https://api.spotify.com/v1/audio-analysis/5UfhUeguI4fn18MpQepM0R,252149.0,4.0
186,435,2020-07-06 11:36,Nicki Minaj,Starships,52527,11,1oHNvJVbFkexQc0BpQp7Y4,0.747,0.716,11.0,-2.457,0.0,0.075,0.135,0.0,0.251,0.751,125.008,audio_features,1oHNvJVbFkexQc0BpQp7Y4,spotify:track:1oHNvJVbFkexQc0BpQp7Y4,https://api.spotify.com/v1/tracks/1oHNvJVbFkexQc0BpQp7Y4,https://api.spotify.com/v1/audio-analysis/1oHNvJVbFkexQc0BpQp7Y4,210627.0,4.0
187,436,2020-07-06 11:42,Labrinth,Earthquake (feat. Tinie Tempah),274439,10,3SxiAdI8dP9AaaEz1Z24mn,0.54,0.856,0.0,-3.966,0.0,0.1,0.109,0.0,0.276,0.258,153.071,audio_features,3SxiAdI8dP9AaaEz1Z24mn,spotify:track:3SxiAdI8dP9AaaEz1Z24mn,https://api.spotify.com/v1/tracks/3SxiAdI8dP9AaaEz1Z24mn,https://api.spotify.com/v1/audio-analysis/3SxiAdI8dP9AaaEz1Z24mn,274600.0,4.0
188,438,2020-07-06 11:46,IC3PEAK,Смерти Больше Нет,201946,29,1PPXvuqGAF3UCbsveKoOIV,0.526,0.459,0.0,-7.632,1.0,0.0813,0.209,0.0,0.0936,0.329,180.094,audio_features,1PPXvuqGAF3UCbsveKoOIV,spotify:track:1PPXvuqGAF3UCbsveKoOIV,https://api.spotify.com/v1/tracks/1PPXvuqGAF3UCbsveKoOIV,https://api.spotify.com/v1/audio-analysis/1PPXvuqGAF3UCbsveKoOIV,202000.0,4.0
189,439,2020-07-06 11:49,IC3PEAK,Сказка,165438,7,2Z9J5uM5vr6mYGVP6hMOwI,0.688,0.573,11.0,-8.983,1.0,0.052,0.121,0.057,0.159,0.206,131.984,audio_features,2Z9J5uM5vr6mYGVP6hMOwI,spotify:track:2Z9J5uM5vr6mYGVP6hMOwI,https://api.spotify.com/v1/tracks/2Z9J5uM5vr6mYGVP6hMOwI,https://api.spotify.com/v1/audio-analysis/2Z9J5uM5vr6mYGVP6hMOwI,165455.0,4.0
